phi_index,phi,phi_over_pi,v_fit_A,v_fit2_A,v_T_A,delta_v_A,stable_A,v_fit_B,v_fit2_B,v_T_B,delta_v_B,stable_B,v_fit_ABB,v_fit2_ABB,v_T_ABB,delta_v_ABB,stable_ABB,adv_v,deltaP_late_mean_ABB,deltaP_final_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,strict,win_ABB,pp_primary,pp_sensitivity,mismatch_sign
0,0.0,0.0,-0.046358375440009,-0.04635179467036225,-0.04658884577161809,6.427117527853937e-05,1,-0.18038370487442612,-0.18044255482390595,-0.18105797428482154,0.00015946080904186144,1,-0.012772412970832656,-0.01239727788134569,-0.011384537953393436,0.0007850816360159916,1,0.03358596246917635,0.08865627729897604,0.09418732224753723,0.050660429364567085,0.0973380885214805,0.004689238974007689,1,0,0,0,1
1,0.08726646259971647,0.027777777777777776,-0.0463668511480943,-0.04636496465778902,-0.046578770406332855,6.525600957684591e-05,1,-0.17627585968395026,-0.17634815284980446,-0.17676459260926136,0.00011237714702180823,1,-0.0034148343771288653,-0.0033098022269626806,-0.0021916416314178497,0.0010425654409521382,1,0.04295201677096543,0.07485383789706039,0.1037312777885191,0.2032310319050855,0.253340068484601,0.0449286838296359,1,0,0,0,0
2,0.17453292519943295,0.05555555555555555,-0.04653840710503901,-0.04655130387583678,-0.04667026880996791,4.807107933555571e-05,1,-0.16863494472037097,-0.16861086529384808,-0.16907916195664868,9.942173787616526e-05,1,0.006238317583813521,0.006667038891836469,0.007430896520618783,0.0009612752166682599,1,0.05277672468885253,0.0907424046938449,0.13981518224918,0.42097220415585207,0.4497764923354437,0.12042222983477777,1,0,0,0,0
3,0.2617993877991494,0.08333333333333333,-0.046847481565919995,-0.04683015530920581,-0.0469637690582501,3.0179260082356663e-05,1,-0.15975996714836402,-0.1596967489656563,-0.1599988305207079,5.576912890917218e-05,1,0.016701003899870448,0.016552761521411264,0.01792367957133537,0.000866127001058252,1,0.06354848546579045,0.11968188182242746,0.17757653622413755,0.5229911149619046,0.5406172634798287,0.16329245866767786,1,1,0,0,0
4,0.3490658503988659,0.1111111111111111,-0.04722528435564377,-0.047254273460885274,-0.047355432073371874,2.685925850061388e-05,1,-0.14978147411570347,-0.1500584501397887,-0.14987100871158138,3.8437265551360955e-05,1,0.028610372072157542,0.02662518209065067,0.029210964336497815,0.0008911165431357941,1,0.07583565642780131,0.1398742637065614,0.2100112114589775,0.5721073449402739,0.5843767879333053,0.18659300823520367,1,1,0,0,0
5,0.4363323129985824,0.1388888888888889,-0.047822952099258915,-0.047779662469739886,-0.04790082053128752,2.491406403483387e-05,1,-0.13857841476653987,-0.13857703507052888,-0.1386030475742587,3.569124688904135e-05,1,0.04025106480884744,0.03778045440400192,0.04118679881689373,0.0010830720514190123,1,0.08807401690810635,0.1675783155657217,0.24492376294396695,0.5974221290600127,0.6077382373719541,0.1990671848925852,1,1,0,0,0
6,0.5235987755982988,0.16666666666666666,-0.04847929738857835,-0.04850484431471416,-0.04854718629748175,1.0406434448939628e-05,1,-0.12617899990993398,-0.12619778586404026,-0.12620908271687298,3.9338951983519665e-05,1,0.05277929259443081,0.051274311481980216,0.053737876189001055,0.0011408278601500038,1,0.10125858998300916,0.20461561875157824,0.27288237577581265,0.6106049695275476,0.6188453932698199,0.20588805197615448,1,1,0,0,0
7,0.6108652381980153,0.19444444444444445,-0.04920499250386167,-0.04923743726489469,-0.04927401565599534,9.889673521529252e-06,1,-0.1124073580416347,-0.11251273932237828,-0.11248955729994113,5.140503808803709e-05,1,0.06646512511135272,0.06649418750615244,0.06645661258107205,0.0011972061438217524,1,0.1156701176152144,0.23866461858383353,0.2936584605683015,0.6135057764530047,0.620673909498182,0.20763076770000194,1,1,0,0,0
8,0.6981317007977318,0.2222222222222222,-0.05001971410539768,-0.050013906430618336,-0.05006589261210124,1.250101893435912e-05,1,-0.09721634602385362,-0.09688727570854351,-0.0972429629921126,0.00018148384289934372,1,0.07895283461979884,0.07948159881921642,0.07899806597923283,0.0012601856823787339,1,0.1289725487251965,0.2789593382702115,0.3393826485192185,0.6099492361795646,0.6165799829655302,0.20571142815256438,1,1,0,0,0
9,0.7853981633974483,0.25,-0.050862898067860776,-0.05085410299210991,-0.05090548853560196,1.0354377604500364e-05,1,-0.08034174586747714,-0.08113022502179565,-0.08055285251039351,0.0005832751624751387,1,0.09096312372140675,0.09085219163066426,0.09085306847963338,0.0015158077120513702,1,0.1418260217892675,0.31056711259338177,0.3877107932364458,0.6017875346041317,0.6080283668506882,0.20117445080433383,1,1,0,0,0
