policy,T,T0,T1,strict_raw,drift_raw,strict_stage3,drift_stage3,pp_primary,pp_sensitivity,mismatch_sign,mismatch_sign_denominator,max_adv_phi,max_adv_phi_over_pi,max_adv_v,max_adv_w_loc3,max_adv_w_loc5,max_adv_v_fit_ABB
fixed,300,200,250,72,43,45,21,0,1,1,50,1.0471975511965976,0.3333333333333333,0.15918236631390129,0.5539169355050063,0.5606677055645829,0.12039081438978931
fixed,600,200,250,72,43,47,22,1,1,1,52,0.9599310885968813,0.3055555555555556,0.1592758694188775,0.5733084633194891,0.5796399329693147,0.11152842763622993
fixed,900,200,250,72,43,47,22,1,1,1,52,0.9599310885968813,0.3055555555555556,0.15924895618827384,0.5733076696216974,0.5796306966629713,0.11153914337269025
fixed,1200,200,250,72,43,47,22,1,1,1,52,0.9599310885968813,0.3055555555555556,0.15926923416847477,0.5733069446081855,0.579626601811965,0.1115427030363338
fixed,1500,200,250,72,43,47,22,1,1,1,52,0.9599310885968813,0.3055555555555556,0.15928135925482548,0.5733079652870073,0.5796244638749471,0.11154398900095333
scaled,300,200,250,72,43,45,21,0,1,1,50,1.0471975511965976,0.3333333333333333,0.15918236631390129,0.5539169355050063,0.5606677055645829,0.12039081438978931
scaled,600,400,500,72,43,47,22,1,1,1,51,0.9599310885968813,0.3055555555555556,0.15955626888023047,0.5733140250800185,0.5796217282085706,0.11146166327128765
scaled,900,600,750,72,43,47,22,1,1,1,52,0.9599310885968813,0.3055555555555556,0.15925155515066952,0.5733074815126803,0.5796178927624143,0.11150121496756792
scaled,1200,800,1000,72,43,47,22,1,1,1,52,0.9599310885968813,0.3055555555555556,0.15923559208866558,0.5732973253423439,0.5796162322301518,0.11153469980955401
scaled,1500,1000,1250,72,43,47,22,1,1,1,52,0.9599310885968813,0.3055555555555556,0.1592807192067028,0.5733098093688711,0.5796167113652552,0.11154446018023088
