T,policy,phi_index,phi,phi_over_pi,T0,T1,v_fit_A,v_fit_B,v_fit_ABB,v_fit2_A,v_fit2_B,v_fit2_ABB,v_T_A,v_T_B,v_T_ABB,delta_v_A,delta_v_B,delta_v_ABB,deltaP_late_mean_ABB,deltaP_final_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,stable_A,stable_B,stable_ABB,strict_raw,drift_raw,strict_stage3,drift_stage3,pp_primary,pp_sensitivity,mismatch_sign,adv_v
300,fixed,0,0.0,0.0,200,250,-0.0463583754400093,-0.18038370487442573,-0.012772412970832666,-0.04635179467036207,-0.18044255482390587,-0.012397277881345608,-0.04658884577161794,-0.1810579742848214,-0.011384537953393385,6.427117527860876e-05,0.00015946080904186144,0.0007850816360159933,0.08865627729897582,0.09418732224753745,0.05066042936456702,0.09733808852148038,0.00468923897400768,1,1,1,1,0,1,0,0,0,1,0.03358596246917663
300,fixed,1,0.08726646259971647,0.027777777777777776,200,250,-0.04636685114809397,-0.17627585968395018,-0.003414834377128977,-0.046364964657788665,-0.17634815284980418,-0.0033098022269629633,-0.04657877040633269,-0.1767645926092611,-0.002191641631417897,6.525600957674876e-05,0.00011237714702183599,0.001042565440952109,0.0748538378970608,0.1037312777885191,0.20323103190508574,0.2533400684846012,0.04492868382963595,1,1,1,1,0,1,0,0,0,0,0.04295201677096499
300,fixed,2,0.17453292519943295,0.05555555555555555,200,250,-0.04653840710503889,-0.1686349447203711,0.0062383175838135576,-0.04655130387583641,-0.1686108652938483,0.0066670388918365535,-0.04667026880996776,-0.16907916195664865,0.007430896520618817,4.807107933563204e-05,9.94217378761375e-05,0.0009612752166682356,0.09074240469384492,0.13981518224918038,0.4209722041558519,0.4497764923354436,0.12042222983477774,1,1,1,1,1,1,0,0,0,0,0.05277672468885245
300,fixed,3,0.2617993877991494,0.08333333333333333,200,250,-0.04684748156591992,-0.15975996714836405,0.016701003899870837,-0.04683015530920592,-0.1596967489656568,0.016552761521411677,-0.04696376905824982,-0.15999883052070782,0.017923679571335626,3.017926008231503e-05,5.576912890911667e-05,0.0008661270010582728,0.11968188182242821,0.17757653622413822,0.522991114961904,0.540617263479828,0.16329245866767766,1,1,1,1,1,1,1,0,0,0,0.06354848546579075
300,fixed,4,0.3490658503988659,0.1111111111111111,200,250,-0.0472252843556424,-0.14978147411570308,0.02861037207215754,-0.04725427346088406,-0.1500584501397882,0.026625182090650748,-0.04735543207337153,-0.14987100871158116,0.02921096433649785,2.6859258500766536e-05,3.843726555138871e-05,0.0008911165431357768,0.1398742637065616,0.21001121145897772,0.5721073449402722,0.5843767879333036,0.18659300823520314,1,1,1,1,1,1,1,0,0,0,0.07583565642779994
300,fixed,5,0.4363323129985824,0.1388888888888889,200,250,-0.04782295209925813,-0.13857841476653973,0.040251064808847554,-0.047779662469739435,-0.13857703507052854,0.03778045440400208,-0.04790082053128687,-0.1386030475742587,0.041186798816893716,2.49140640349102e-05,3.569124688909686e-05,0.0010830720514190054,0.16757831556572167,0.24492376294396673,0.5974221290600132,0.6077382373719546,0.19906718489258543,1,1,1,1,1,1,1,0,0,0,0.08807401690810568
300,fixed,6,0.5235987755982988,0.16666666666666666,200,250,-0.048479297388578445,-0.1261789999099339,0.052779292594430934,-0.04850484431471427,-0.12619778586404004,0.051274311481980535,-0.04854718629748194,-0.12620908271687284,0.053737876189001055,1.0406434448870239e-05,3.933895198354742e-05,0.0011408278601500385,0.2046156187515782,0.2728823757758125,0.6106049695275485,0.6188453932698209,0.2058880519761547,1,1,1,1,1,1,1,0,0,0,0.10125858998300938
300,fixed,7,0.6108652381980153,0.19444444444444445,200,250,-0.04920499250386199,-0.11240735804163475,0.06646512511135258,-0.049237437264895136,-0.11251273932237808,0.066494187506152,-0.04927401565599525,-0.11248955729994109,0.06645661258107192,9.889673521390474e-06,5.1405038088078725e-05,0.0011972061438216969,0.23866461858383334,0.2936584605683016,0.613505776453006,0.6206739094981832,0.20763076770000233,1,1,1,1,1,1,1,0,0,0,0.11567011761521456
300,fixed,8,0.6981317007977318,0.2222222222222222,200,250,-0.050019714105397795,-0.09721634602385378,0.07895283461979875,-0.05001390643061857,-0.0968872757085438,0.07948159881921593,-0.050065892612101606,-0.09724296299211274,0.07899806597923269,1.2501018934324426e-05,0.0001814838428992882,0.001260185682378706,0.2789593382702112,0.339382648519218,0.6099492361795654,0.616579982965531,0.20571142815256466,1,1,1,1,1,1,1,0,0,0,0.12897254872519653
300,fixed,9,0.7853981633974483,0.25,200,250,-0.050862898067860755,-0.08034174586747714,0.0909631237214067,-0.05085410299210953,-0.08113022502179565,0.09085219163066426,-0.05090548853560185,-0.08055285251039346,0.0908530684796334,1.0354377604479548e-05,0.000583275162475097,0.001515807712051384,0.310567112593382,0.3877107932364461,0.6017875346041333,0.6080283668506897,0.20117445080433424,1,1,1,1,1,1,1,0,0,0,0.14182602178926745
