policy,phi_index,phi,phi_over_pi,strict_all_T,drift_all_T,pp_primary_all_T,pp_sensitivity_all_T,T_last,v_fit_A_T_last,v_fit_B_T_last,v_fit_ABB_T_last,w_loc3_ABB_T_last,w_loc5_ABB_T_last,adv_v_T_last
fixed,0,0.0,0.0,1,0,0,0,1500,-0.04635784342379527,-0.18037712902641098,-0.012840191904881717,0.013112376476038976,0.023370746683013928,0.033517651518913553
fixed,1,0.08726646259971647,0.027777777777777776,1,0,0,0,1500,-0.04638516066420255,-0.17642033766883186,-0.0031782050460342458,0.21335094714481936,0.2522714567464701,0.0432069556181683
fixed,2,0.17453292519943295,0.05555555555555555,1,0,0,0,1500,-0.046533671750688906,-0.16888967998104126,0.00648631997677531,0.4255748778775064,0.45293058620140486,0.053019991727464216
fixed,3,0.2617993877991494,0.08333333333333333,1,1,0,0,1500,-0.046821890498227894,-0.1599182230146492,0.017156484563075343,0.5228141952533631,0.5397970613390848,0.06397837506130324
fixed,4,0.3490658503988659,0.1111111111111111,1,1,0,0,1500,-0.04725434688227531,-0.14982865537293427,0.028557096128105933,0.5705897681614969,0.5825632686563827,0.07581144301038124
fixed,5,0.4363323129985824,0.1388888888888889,1,1,0,0,1500,-0.04781047793318295,-0.1386160462460715,0.04052812880147433,0.5976046009170055,0.6074603696323125,0.08833860673465728
fixed,6,0.5235987755982988,0.16666666666666666,1,1,0,0,1500,-0.04847008459201126,-0.1262014381378,0.053393873291921905,0.6107438206670538,0.6189174907183259,0.10186395788393317
fixed,7,0.6108652381980153,0.19444444444444445,1,1,0,0,1500,-0.049211497277769516,-0.11246738413226286,0.06637337791822442,0.6135424364160188,0.6205951949003392,0.11558487519599395
fixed,8,0.6981317007977318,0.2222222222222222,1,1,0,0,1500,-0.05001558860599071,-0.09723040066214718,0.07897193161391516,0.6100640025417685,0.6165393197002923,0.12898752021990587
fixed,9,0.7853981633974483,0.25,1,1,0,0,1500,-0.05086486296059363,-0.08011857486220432,0.09084547540965474,0.6017617190254125,0.6079689899343887,0.14171033837024838
fixed,10,0.8726646259971648,0.2777777777777778,1,1,0,0,1500,-0.05174446763878253,-0.06197515794441659,0.10175019240154348,0.58935504443579,0.5955216218112009,0.15349466004032603
fixed,11,0.9599310885968813,0.3055555555555556,1,1,0,0,1500,-0.0526413991205566,-0.04773737025387215,0.11154398900095333,0.5733079652870073,0.5796244638749471,0.15928135925482548
fixed,12,1.0471975511965976,0.3333333333333333,1,1,0,0,1500,-0.05354415455974783,-0.03760431506429082,0.12009705088000977,0.5539668548865307,0.5605963494986216,0.1577013659443006
fixed,13,1.1344640137963142,0.3611111111111111,1,1,0,0,1500,-0.05444246645859459,-0.03040147920465683,0.1272088090855477,0.5315785899013614,0.5387002287857748,0.15761028829020454
fixed,14,1.2217304763960306,0.3888888888888889,1,1,0,0,1500,-0.0553268374539362,-0.025152816172534093,0.13253295288349343,0.5062842210308455,0.5141515876404557,0.15768576905602752
fixed,15,1.3089969389957472,0.4166666666666667,1,1,0,0,1500,-0.05618808468184286,-0.021251149227402774,0.13548999494010835,0.47811087451500217,0.4870616672473318,0.15674114416751112
fixed,16,1.3962634015954636,0.4444444444444444,1,1,0,0,1500,-0.05701690274248628,-0.018290774078180198,0.1352430422976717,0.4465994816070621,0.45720973676803645,0.1535338163758519
fixed,17,1.48352986419518,0.4722222222222222,1,1,0,0,1500,-0.057803393892954975,-0.01598536897118081,0.13069381642647715,0.4100243503500233,0.4233841100353285,0.14667918539765795
fixed,18,1.5707963267948966,0.5,1,1,0,0,1500,-0.058536499981784146,-0.014156885468555633,0.12070934612954119,0.36272402240080054,0.3809904592008476,0.13486623159809683
fixed,19,1.658062789394613,0.5277777777777778,1,1,0,0,1500,-0.05920330761733467,-0.012682409707965707,0.10573842545002632,0.2819404668001628,0.3092619458113941,0.11842083515799202
fixed,20,1.7453292519943295,0.5555555555555556,1,1,0,1,1500,-0.059788084210101955,-0.011498175620250373,0.08844245723264832,0.08700431032068844,0.09949785052230299,0.0999406328528987
fixed,21,1.832595714594046,0.5833333333333333,1,1,0,0,1500,-0.06027087836722264,-0.01050705695887102,0.0793201643340198,0.1931261555820185,0.22296601833707794,0.08982722129289082
fixed,22,1.9198621771937625,0.6111111111111112,1,1,0,0,1500,-0.06062526416234966,-0.009702589542183776,0.08007740864519446,0.4107038086412269,0.44747880994318995,0.08977999818737824
fixed,50,4.363323129985823,1.3888888888888888,1,0,0,0,1500,-0.060625264162348286,-0.009702589542183775,-0.04570328950219746,0.3574629655752405,0.3729680093642709,-0.036000699960013684
fixed,51,4.4505895925855405,1.4166666666666667,1,0,0,0,1500,-0.06027087836722284,-0.010507056958871,-0.004544994502429464,0.3597386746409545,0.37108606244845826,0.005962062456441537
fixed,52,4.537856055185257,1.4444444444444444,1,1,0,0,1500,-0.05978808421010162,-0.011498175620250375,0.011745529147819067,0.4006896839143561,0.41560823201694747,0.023243704768069442
fixed,53,4.625122517784973,1.4722222222222223,1,0,0,0,1500,-0.059203307617334264,-0.012682409707965718,0.008724184328593208,0.6643685735045812,0.6990569195878239,0.021406594036558924
fixed,54,4.71238898038469,1.5,1,0,0,0,1500,-0.058536499981783986,-0.014156885468555598,0.005076253735610981,0.7319338433534143,0.7547901213210978,0.01923313920416658
fixed,55,4.799655442984406,1.5277777777777777,1,0,0,0,1500,-0.057803393892954844,-0.015985368971180733,0.0010508601565908558,0.746566425445243,0.7633431250207161,0.01703622912777159
fixed,56,4.886921905584122,1.5555555555555556,1,0,0,0,1500,-0.057016902742485547,-0.01829077407818013,-0.002838955735245971,0.7420449935759843,0.7558315857602269,0.015451818342934161
fixed,57,4.974188368183839,1.5833333333333333,1,0,0,0,1500,-0.05618808468184322,-0.021251149227402753,-0.006355938333087276,0.7270026824327314,0.7392172826377532,0.014895210894315478
fixed,58,5.061454830783555,1.611111111111111,1,0,0,0,1500,-0.05532683745393543,-0.025152816172534006,-0.009493340158947969,0.7038077713401619,0.7152847450352227,0.015659476013586037
fixed,59,5.148721293383272,1.6388888888888888,1,0,0,0,1500,-0.05444246645859475,-0.030401479204656776,-0.012229669061343469,0.6728343012476748,0.6842047732231263,0.01817181014331331
fixed,60,5.235987755982989,1.6666666666666667,1,0,0,0,1500,-0.05354415455974696,-0.03760431506429091,-0.014469049821706855,0.6338609113324613,0.6455677057461272,0.02313526524258406
fixed,61,5.323254218582705,1.6944444444444444,1,0,0,0,1500,-0.05264139912055759,-0.04773737025387216,-0.016151358451481454,0.5862545504498472,0.5988568145967816,0.03158601180239071
fixed,62,5.410520681182422,1.7222222222222223,1,0,0,0,1500,-0.05174446763878325,-0.06197515794441666,-0.017143299204723034,0.529829099413698,0.5439193750363548,0.03460116843406022
