t,phi_index,phi,phi_over_pi,sequence,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
0,12,1.0471975511965976,0.3333333333333333,ABB,0.0,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998
1,12,1.0471975511965976,0.3333333333333333,ABB,-0.1382301328771871,-0.1382301328771871,1.0,1.0,0.0
2,12,1.0471975511965976,0.3333333333333333,ABB,-0.04082845240410765,-0.020414226202053826,1.0,1.0,0.8523171049817975
3,12,1.0471975511965976,0.3333333333333333,ABB,0.46287605155065653,0.46890571560080796,0.9999999999999999,0.9999999999999999,0.0
4,12,1.0471975511965976,0.3333333333333333,ABB,1.1994515970027628,0.6020140967227754,0.9834457352115322,1.0,0.24871467237892195
5,12,1.0471975511965976,0.3333333333333333,ABB,0.49704235129926677,0.3844805365678535,0.9975552182511414,1.0000000000000002,0.0
6,12,1.0471975511965976,0.3333333333333333,ABB,1.124263414452873,0.5526613372850622,0.9592004027814445,0.9996389475536409,0.35445560613863253
7,12,1.0471975511965976,0.3333333333333333,ABB,1.3266587350850296,0.5194066426455226,0.9693137918129897,0.9997259563173134,0.0
8,12,1.0471975511965976,0.3333333333333333,ABB,1.3662280105011684,0.6361963036410041,0.915633525334939,0.9951045581266454,0.2002407311176599
9,12,1.0471975511965976,0.3333333333333333,ABB,1.1369724481576173,0.48228879046695655,0.9467839692403368,0.9984617940554121,0.0
10,12,1.0471975511965976,0.3333333333333333,ABB,1.0766995191702717,0.30104274934219377,0.7598917601611647,0.9605123180906958,0.364295464686508
11,12,1.0471975511965976,0.3333333333333333,ABB,1.03147492300659,0.26633625288842794,0.926102777829632,0.9933504943748379,0.0
12,12,1.0471975511965976,0.3333333333333333,ABB,1.1648494058157848,0.32565166918868604,0.7523262231579723,0.9439693920428516,0.5391999492197787
13,12,1.0471975511965976,0.3333333333333333,ABB,1.0891479170855338,0.11269286118971494,0.7918434829674618,0.9588673350538955,0.0
14,12,1.0471975511965976,0.3333333333333333,ABB,1.1163373316637573,0.2721022674962684,0.7539984055400615,0.9245001648471161,0.3988641645162836
15,12,1.0471975511965976,0.3333333333333333,ABB,1.5584094263945723,0.41088521516973514,0.7886867994996878,0.9439024416791086,0.0
16,12,1.0471975511965976,0.3333333333333333,ABB,2.058612874768156,0.49323293488710396,0.6503295960711057,0.8045442383467866,0.4229552061000712
17,12,1.0471975511965976,0.3333333333333333,ABB,1.4565997109506288,0.22059642814328073,0.7923718460229807,0.929240571129155,0.0
18,12,1.0471975511965976,0.3333333333333333,ABB,2.104260876825715,0.46727359012811664,0.6257821024685007,0.7993437417709042,0.4490138357127845
19,12,1.0471975511965976,0.3333333333333333,ABB,2.1785036843649004,0.2741937109634596,0.6605025406097016,0.8099092257857059,0.0
20,12,1.0471975511965976,0.3333333333333333,ABB,2.0679437563528857,0.44549774247307333,0.6332437913799751,0.7939244110941157,0.31734619131420067
21,12,1.0471975511965976,0.3333333333333333,ABB,2.2644548401297646,0.43104584267300566,0.637049152160007,0.7972607489783625,0.0
22,12,1.0471975511965976,0.3333333333333333,ABB,2.5432899671816025,0.4042462101882406,0.5740259508070077,0.6648379575135932,0.30066599763060076
23,12,1.0471975511965976,0.3333333333333333,ABB,2.170434923940074,0.23899526118515574,0.6357756001244016,0.7856696459485626,0.0
24,12,1.0471975511965976,0.3333333333333333,ABB,2.710597246990913,0.4494084153225354,0.5652249135353091,0.6458251391801343,0.40955899008549546
25,12,1.0471975511965976,0.3333333333333333,ABB,2.7870910869543404,0.3089130153560038,0.5788852418652789,0.6626377452038585,0.0
26,12,1.0471975511965976,0.3333333333333333,ABB,2.737854476150715,0.41788554987490256,0.5464654439542911,0.6399099878848082,0.32849282752949777
27,12,1.0471975511965976,0.3333333333333333,ABB,3.115642652201853,0.5470686964120638,0.5716143206205243,0.6471359331605646,0.0
28,12,1.0471975511965976,0.3333333333333333,ABB,3.4087655615418564,0.4747454025578115,0.5636596034154271,0.5806091476745417,0.3393472114839923
29,12,1.0471975511965976,0.3333333333333333,ABB,3.068945316459268,0.32217661257962055,0.5677310691433368,0.6398413649950851,0.0
30,12,1.0471975511965976,0.3333333333333333,ABB,3.620566968265617,0.5134555956067263,0.5600834477580927,0.577385894827794,0.3779958424908738
31,12,1.0471975511965976,0.3333333333333333,ABB,3.7019149684433095,0.3868497044665148,0.5720610033744773,0.5843614396074824,0.0
32,12,1.0471975511965976,0.3333333333333333,ABB,3.672938358327469,0.4928661322186561,0.5435692010106227,0.5800085225622238,0.27618702891980906
33,12,1.0471975511965976,0.3333333333333333,ABB,3.9577139807441015,0.5932668013818255,0.5592148808960669,0.5842866816403393,0.0
34,12,1.0471975511965976,0.3333333333333333,ABB,4.217007089827357,0.4874680526144134,0.5510729363115886,0.5713517056065099,0.34640550144697
35,12,1.0471975511965976,0.3333333333333333,ABB,3.888900007603298,0.38878116533359225,0.5605105612951932,0.5862842905071868,0.0
36,12,1.0471975511965976,0.3333333333333333,ABB,4.306358407342826,0.4886559633658557,0.5525807867445305,0.5648901694256614,0.3970826542085393
37,12,1.0471975511965976,0.3333333333333333,ABB,4.304821067219342,0.2630074692374997,0.560129193794629,0.5745847015022273,0.0
38,12,1.0471975511965976,0.3333333333333333,ABB,4.274955648479515,0.44686476369648936,0.5518859025856095,0.565460882274021,0.3013259418909729
39,12,1.0471975511965976,0.3333333333333333,ABB,4.510795975080447,0.4857843998704373,0.5606023371312202,0.5724058126776276,0.0
40,12,1.0471975511965976,0.3333333333333333,ABB,4.779570502451265,0.4254522837332059,0.5434087421871383,0.5686486171441726,0.3475103929823028
41,12,1.0471975511965976,0.3333333333333333,ABB,4.415642804267266,0.3030355636677761,0.5642009481981267,0.5729104001012567,0.0
42,12,1.0471975511965976,0.3333333333333333,ABB,4.886288342419855,0.4456258363263424,0.5534227791491011,0.5682563759713652,0.40873321638182103
43,12,1.0471975511965976,0.3333333333333333,ABB,4.882062041273837,0.21476122871359982,0.5601250499599882,0.572614941180378,0.0
44,12,1.0471975511965976,0.3333333333333333,ABB,4.870566727965527,0.409567346166269,0.5483210246644759,0.5692827274531094,0.29742417128100845
45,12,1.0471975511965976,0.3333333333333333,ABB,5.1271951802863525,0.4179819065099214,0.5626701441882258,0.571995779724596,0.0
46,12,1.0471975511965976,0.3333333333333333,ABB,5.429828832759277,0.40413132395855456,0.5569580802864932,0.5658802338275296,0.3328288323948894
47,12,1.0471975511965976,0.3333333333333333,ABB,5.080431614776318,0.2520381022647048,0.5608344930649856,0.572835361309284,0.0
48,12,1.0471975511965976,0.3333333333333333,ABB,5.605202519618816,0.4352442340058924,0.5525743789174001,0.5674919636657448,0.41843322153073603
49,12,1.0471975511965976,0.3333333333333333,ABB,5.633952446951303,0.2287251063809292,0.5644230737487597,0.5704633060410601,0.0
50,12,1.0471975511965976,0.3333333333333333,ABB,5.618957677182864,0.4005563141325011,0.543907643456117,0.5676673744074759,0.29528291919707533
51,12,1.0471975511965976,0.3333333333333333,ABB,5.908778485449542,0.42516729888815036,0.5581055722026211,0.572044053652901,0.0
52,12,1.0471975511965976,0.3333333333333333,ABB,6.24715203901165,0.43538035720136037,0.5529186098693277,0.5679911505331955,0.3436016803726235
53,12,1.0471975511965976,0.3333333333333333,ABB,5.830566197601384,0.23571654448887536,0.5605210448146587,0.5732001937876207,0.0
54,12,1.0471975511965976,0.3333333333333333,ABB,6.38309625868961,0.45495797144784,0.5554100471818673,0.5646694055825024,0.42479115380636
55,12,1.0471975511965976,0.3333333333333333,ABB,6.451673298828236,0.2847818147659074,0.5625755305965627,0.571425462814346,0.0
56,12,1.0471975511965976,0.3333333333333333,ABB,6.376069550748436,0.423956818753713,0.5549495202946826,0.5668242959283718,0.31008609586588814
57,12,1.0471975511965976,0.3333333333333333,ABB,6.680329911171558,0.49621040106322073,0.562387367095914,0.5693179699206957,0.0
58,12,1.0471975511965976,0.3333333333333333,ABB,7.009492427037412,0.4628034516177316,0.5503985745403048,0.5676557517663952,0.33638860455281594
59,12,1.0471975511965976,0.3333333333333333,ABB,6.579213683743884,0.2798548383712664,0.5652318298677107,0.5705512347764228,0.0
60,12,1.0471975511965976,0.3333333333333333,ABB,7.12918551221709,0.48363362707332164,0.5593153098826453,0.566969314273387,0.3995751980392305
61,12,1.0471975511965976,0.3333333333333333,ABB,7.212693613309665,0.33988854630878473,0.5625723440343465,0.5704123944093139,0.0
62,12,1.0471975511965976,0.3333333333333333,ABB,7.142713375558672,0.45607698382203626,0.5503269862853097,0.5681270762435421,0.309941624021118
63,12,1.0471975511965976,0.3333333333333333,ABB,7.458342681669176,0.5656523296625855,0.563845816167203,0.5694311408823723,0.0
64,12,1.0471975511965976,0.3333333333333333,ABB,7.72212757668402,0.4668281346301113,0.5553505529688368,0.5648315673026962,0.3335200316660573
65,12,1.0471975511965976,0.3333333333333333,ABB,7.392935285248315,0.3487868316494014,0.5613718786262857,0.5711982848606879,0.0
66,12,1.0471975511965976,0.3333333333333333,ABB,7.891526896763573,0.4972368824813952,0.5536512017942685,0.5649296405965715,0.37829701129136445
67,12,1.0471975511965976,0.3333333333333333,ABB,7.93680169988325,0.3332802115261673,0.5612628242612014,0.5662734166813344,0.0
68,12,1.0471975511965976,0.3333333333333333,ABB,7.912330767451835,0.4657591877272876,0.5389374342731672,0.5648520643955898,0.2886583158009955
69,12,1.0471975511965976,0.3333333333333333,ABB,8.206294496912566,0.5519842867524557,0.5550489684640652,0.5670560324039309,0.0
70,12,1.0471975511965976,0.3333333333333333,ABB,8.457756223127959,0.45748173772135325,0.5502400984641412,0.5618021896335218,0.3464433681749519
71,12,1.0471975511965976,0.3333333333333333,ABB,8.148715175533338,0.3603980258921222,0.5543300454629342,0.5674363485183633,0.0
72,12,1.0471975511965976,0.3333333333333333,ABB,8.595499777238752,0.47633034309491046,0.5488304888232536,0.5596179927907903,0.3965348221431652
73,12,1.0471975511965976,0.3333333333333333,ABB,8.586123966769629,0.25052855664178253,0.5583940102252963,0.5665620887279903,0.0
74,12,1.0471975511965976,0.3333333333333333,ABB,8.582895209379899,0.4374280641281816,0.544725700460694,0.5595565752906223,0.28877046828939196
75,12,1.0471975511965976,0.3333333333333333,ABB,8.819499166943618,0.45824624875380315,0.5560564386681635,0.5649274364331168,0.0
76,12,1.0471975511965976,0.3333333333333333,ABB,9.108794578876614,0.42633554072404156,0.5469038744382324,0.564341101848347,0.34838388587835767
77,12,1.0471975511965976,0.3333333333333333,ABB,8.744691466073501,0.2873879545114809,0.5588735515730315,0.5654544125237677,0.0
78,12,1.0471975511965976,0.3333333333333333,ABB,9.217027315637159,0.4413075070172396,0.5530373373202009,0.5626709460214202,0.423908519094495
79,12,1.0471975511965976,0.3333333333333333,ABB,9.215689669020312,0.20290640116483977,0.5586567844834933,0.5670581815231683,0.0
80,12,1.0471975511965976,0.3333333333333333,ABB,9.198607115006212,0.4037427720443858,0.5502120213245616,0.5635553403308423,0.3045993354354167
