t,phi_index,phi,phi_over_pi,sequence,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
0,12,1.0471975511965976,0.3333333333333333,B,0.0,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998
1,12,1.0471975511965976,0.3333333333333333,B,-0.6938063714798676,-0.6938063714798676,0.9999999999999999,0.9999999999999999,0.0
2,12,1.0471975511965976,0.3333333333333333,B,-0.2049266670444427,-0.10246333352222135,1.0,1.0,0.8523171049817975
3,12,1.0471975511965976,0.3333333333333333,B,-0.966088565715292,-0.9358244022597374,1.0,1.0,0.0
4,12,1.0471975511965976,0.3333333333333333,B,-0.6401522796120321,-0.31784139016880597,0.9967790009877779,1.0000000000000002,0.6215363676398084
5,12,1.0471975511965976,0.3333333333333333,B,-0.9199675502033079,-0.7283991728940582,0.9995243135410244,1.0000000000000002,0.0
6,12,1.0471975511965976,0.3333333333333333,B,-0.6869785486084273,-0.31893199543964146,0.96763959183948,0.9999297492466173,0.5407435710317421
7,12,1.0471975511965976,0.3333333333333333,B,-0.7344091752064427,-0.36441487402500017,0.9924042179907804,0.9999896251653634,0.0
8,12,1.0471975511965976,0.3333333333333333,B,-0.4984155886350975,-0.16913881605148368,0.8911653239449253,0.9983601874934172,0.54668131304893
9,12,1.0471975511965976,0.3333333333333333,B,-0.34135745574646237,0.045246853906988904,0.9615940500701732,0.9996662478109266,0.0
10,12,1.0471975511965976,0.3333333333333333,B,-0.4352377693599986,-0.08344899939253103,0.7923384159757905,0.9883180295717807,0.5510084580310796
11,12,1.0471975511965976,0.3333333333333333,B,0.003988772082584413,0.37934230801758817,0.8951249082150938,0.996809224536814,0.0
12,12,1.0471975511965976,0.3333333333333333,B,-0.37533696974278097,-0.02657781721894556,0.7215663936272088,0.9563649708272275,0.5427327122464201
13,12,1.0471975511965976,0.3333333333333333,B,0.052801136815581184,0.49795195021122324,0.8101223677263653,0.9843301700960215,0.0
14,12,1.0471975511965976,0.3333333333333333,B,-0.38583287515429293,-0.005020922028115327,0.701894242091459,0.8949243772434867,0.5240037275687411
15,12,1.0471975511965976,0.3333333333333333,B,-0.1371731394901149,0.3869842262274523,0.7465735489690616,0.9512107214336036,0.0
16,12,1.0471975511965976,0.3333333333333333,B,-0.5707799490330675,-0.055672114515449095,0.7080684967299523,0.8192927790527239,0.5212836763817938
17,12,1.0471975511965976,0.3333333333333333,B,-0.5343067320804853,0.08221881588317248,0.7278919522822724,0.8930627383438021,0.0
18,12,1.0471975511965976,0.3333333333333333,B,-0.8046931819780979,-0.127260137605161,0.7007900237146986,0.7632401157093411,0.5268244791817533
19,12,1.0471975511965976,0.3333333333333333,B,-1.0421448452154198,-0.3116088873477753,0.7332316694938618,0.8247891494030756,0.0
20,12,1.0471975511965976,0.3333333333333333,B,-1.0402059962861339,-0.20232809525199222,0.6830581370986804,0.746127866832875,0.5191397344866328
21,12,1.0471975511965976,0.3333333333333333,B,-1.4650401242745166,-0.6285224135893479,0.7280163200235907,0.7751690167099966,0.0
22,12,1.0471975511965976,0.3333333333333333,B,-1.2135931438367458,-0.2518638938018801,0.6807823884852933,0.7502730457371429,0.5196060357116259
23,12,1.0471975511965976,0.3333333333333333,B,-1.685326981767726,-0.7545787092662153,0.7120431882103124,0.7595737137718057,0.0
24,12,1.0471975511965976,0.3333333333333333,B,-1.2688988621340034,-0.24256167214597785,0.6880968935673144,0.7461997833710087,0.5296743637715917
25,12,1.0471975511965976,0.3333333333333333,B,-1.6241986426921637,-0.6395072871386617,0.7062450677494341,0.7627629248600334,0.0
