label,sequence,phi,phi_over_pi,policy,metric_name,n_points,T_min,T_max,limit_estimate_deg1,rmse_deg1,limit_estimate_deg2,rmse_deg2
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,v_fit,6,3000,12000,-0.05354409513098969,5.391594092402641e-10,-0.05354409825854135,4.071808348391797e-11
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,deltaP_late_mean,6,3000,12000,-0.0657896995985819,2.17630093838003e-09,-0.06578968766399747,7.262979409243459e-10
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,w_loc3,6,3000,12000,0.5269242410221279,2.4095512433322544e-08,0.526924101152484,1.5853384947598157e-09
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,w_loc5,6,3000,12000,0.5539313131777125,7.898675750149232e-09,0.553931267589372,9.887840884402972e-10
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,P0bar,6,3000,12000,0.15798899994071977,2.0576948505908778e-07,0.1579901969015627,2.4332846028599434e-09
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,v_fit,6,3000,12000,-0.05354409877164114,3.64630291379751e-11,-0.05354409877967029,3.643689620989296e-11
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,deltaP_late_mean,6,3000,12000,-0.06578968912997431,4.0157944911366704e-09,-0.06578968513162725,3.956540619059368e-09
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,w_loc3,6,3000,12000,0.5269258717172622,1.7608211995402855e-06,0.5269241003401149,1.7342933539725215e-06
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,w_loc5,6,3000,12000,0.5539316095636622,3.3183479731694693e-07,0.5539312498567028,3.260230470418711e-07
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,P0bar,6,3000,12000,0.15796898052415428,2.1316583515945754e-05,0.1579897607329869,2.1015161504209357e-05
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,v_fit,6,3000,12000,-0.03760797589296842,3.681687272656926e-07,-0.03760655037854189,2.7477653919032494e-07
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,deltaP_late_mean,6,3000,12000,-0.11853311135387783,0.00018345932475228105,-0.11792514158231464,0.0001507821121582199
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,w_loc3,6,3000,12000,0.7174904383632877,4.093156063299929e-08,0.717490606405357,2.8999771808155503e-08
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,w_loc5,6,3000,12000,0.7300174999106693,3.263640395023506e-08,0.7300176593344552,1.772347855058724e-08
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,P0bar,6,3000,12000,0.2781820482830225,3.847683766928751e-07,0.27818428401501594,1.861716765306635e-08
paper_max_T300,B,1.0471975511965976,0.3333333333333333,scaled,v_fit,6,3000,12000,-0.03760994488986456,1.2498348907617221e-06,-0.03760483659582899,8.89392217715991e-07
paper_max_T300,B,1.0471975511965976,0.3333333333333333,scaled,deltaP_late_mean,6,3000,12000,-0.11872629856486741,0.0008563668170194135,-0.11600732204837337,0.0007175751058494072
paper_max_T300,B,1.0471975511965976,0.3333333333333333,scaled,w_loc3,6,3000,12000,0.7174919182977915,9.264333921477175e-07,0.717490811466029,9.066858140620799e-07
