label,sequence,phi,phi_over_pi,policy,T,T0,T1,v_fit,v_fit2,v_T,delta_v,deltaP_late_mean,deltaP_final,w_loc3,w_loc5,P0bar,x_mean_final,stable
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,300,200,250,-0.05354750247179236,-0.05354435789014423,-0.053562106044309485,4.3265214875673474e-06,-0.0657859347579508,-0.06582567642061438,0.5267821391450794,0.5538987082643939,0.15954889691664131,-16.068631813292846,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,600,200,250,-0.05354438981609456,-0.0535441435871536,-0.05355300489403526,1.3427671761795379e-05,-0.06578781944704439,-0.06581081640285164,0.5268862696915304,0.553921718159701,0.15838198594520436,-32.13180293642115,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,900,200,250,-0.053544229012378416,-0.0535441448524351,-0.053550007045433605,1.6425520363447244e-05,-0.06578846463903468,-0.06580403017149627,0.5269020996934418,0.5539255653566874,0.15821415906069358,-48.195006340890245,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,1200,200,250,-0.053544178609253645,-0.05354413580105378,-0.05354851411277645,1.7918453020598912e-05,-0.06578878089534719,-0.06579933235412883,0.5269085664050634,0.553927188518374,0.1581469738233473,-64.25821693533175,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,1500,200,250,-0.053544154559747835,-0.05354412846326031,-0.05354762090519216,1.8811660604890756e-05,-0.06578896914818154,-0.06579568564478344,0.5269120907094975,0.5539280896139265,0.15811078819542115,-80.32143135778824,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,2000,200,250,-0.05354413442579137,-0.053544120291663035,-0.053546738211199284,1.969435459776847e-05,-0.06578915806018319,-0.06579362836169417,0.5269153909787097,0.5539289482156812,0.15807728084854625,-107.09347642239857,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,3000,200,250,-0.05354411798362456,-0.05354411184749644,-0.053545849149700266,2.05834160967866e-05,-0.06578934787956503,-0.06578760534321892,0.5269184999810057,0.5539297753503705,0.15804617273582983,-160.6375474491008,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,4000,200,250,-0.053544111215686405,-0.05354410777825142,-0.05354541361728445,2.1018948512599445e-05,-0.06578944168515573,-0.0657886114279761,0.5269199888421189,0.5539301780377395,0.15803143954503374,-214.1816544691378,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,6000,200,250,-0.05354410554076858,-0.05354410400705293,-0.053544977239467044,2.145532633000824e-05,-0.06578952685221477,-0.06579048982673458,0.5269214146161206,0.5539305586024377,0.15801720772607236,-321.26986343680227,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,8000,200,250,-0.05354410322144547,-0.053544102353524935,-0.05354475699419135,2.167557160569905e-05,-0.06578956892118282,-0.06578906428795112,0.5269221056089143,0.5539307414231761,0.15801027151017102,-428.3580559535308,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,10000,200,250,-0.05354410202735994,-0.05354410146886125,-0.053544625901336636,2.180666446041646e-05,-0.06578959430677934,-0.0657898622813693,0.5269225179851232,0.5539308519858874,0.15800616759785582,-535.4462590133663,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,12000,200,250,-0.05354410132263923,-0.053544100932983826,-0.05354453800476054,2.1894561036510385e-05,-0.06578961062800895,-0.0657894787035902,0.5269227880474039,0.5539309233116575,0.1580034536609607,-642.5344560571265,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,300,200,250,-0.05354750247179236,-0.05354435789014423,-0.053562106044309485,4.3265214875673474e-06,-0.0657859347579508,-0.06582567642061438,0.5267821391450794,0.5538987082643939,0.15954889691664131,-16.068631813292846,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,600,400,500,-0.05354445705066292,-0.05354495005873521,-0.05355300489403526,1.6929584212704851e-06,-0.06578885224884935,-0.06581081640285164,0.5268569869619052,0.5539175994265161,0.1587753130370766,-32.13180293642115,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,900,600,750,-0.05354418713182031,-0.05354413051107508,-0.053550007045433605,1.1199997922636817e-06,-0.06578939843887495,-0.06580403017149627,0.5268796824655174,0.5539223892803385,0.15851466169451536,-48.195006340890245,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,1200,800,1000,-0.05354413039920747,-0.05354414493124887,-0.05354851411277645,8.663322431518017e-07,-0.0657895589376756,-0.06579933235412883,0.5268909485351053,0.5539247291279442,0.1583839664331552,-64.25821693533175,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,1500,1000,1250,-0.05354411441731452,-0.05354410791637621,-0.05354762090519216,6.728499390151743e-07,-0.0657896014139602,-0.06579568564478344,0.52689771068199,0.5539261311850665,0.15830542071497536,-80.32143135778824,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,2000,1333,1666,-0.05354410481774133,-0.05354409643423652,-0.053546738211199284,5.306122983217421e-07,-0.06578966273849193,-0.06579362836169417,0.5269239806414255,0.5539311845032906,0.15799009687747934,-107.09347642239857,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,3000,2000,2500,-0.05354410156455313,-0.05354409844256552,-0.053545849149700266,3.563680143411907e-07,-0.06578969367895446,-0.06578760534321892,0.5269110276582083,0.5539287862300655,0.15814798838384755,-160.6375474491008,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,4000,2666,3333,-0.05354410093252972,-0.0535441008489881,-0.05354541361728445,2.6242528226166906e-07,-0.06578970223997485,-0.0657886114279761,0.5269143450304691,0.5539294382344537,0.15810851531874817,-214.1816544691378,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,6000,4000,5000,-0.053544100152713305,-0.053544100121956054,-0.053544977239467044,1.7492641102984097e-07,-0.06578968817383755,-0.06579048982673458,0.5269175755496041,0.5539300348318,0.15806911288560668,-321.26986343680227,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,8000,5333,6666,-0.0535440997801785,-0.053544099614146544,-0.05354475699419135,1.3227512422886445e-07,-0.06578968968519645,-0.06578906428795112,0.5269241078070008,0.5539312703180996,0.15799015244473769,-428.3580559535308,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,10000,6666,8333,-0.05354409960555804,-0.05354409957862777,-0.053544625901336636,1.0495852986736054e-07,-0.06578969342239407,-0.0657898622813693,0.52692019629667,0.5539305344646203,0.15803753232198142,-535.4462590133663,1
