phi_index,phi,phi_over_pi,policy,T,T0,T1,v_fit_A,v_fit_B,v_fit_ABB,deltaP_late_mean_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,stable_A,stable_B,stable_ABB,strict_raw,drift_raw,strict_stage3,drift_stage3,pp_primary,pp_sensitivity,mismatch_sign,mismatch_eligible,adv_v
0,0.0,0.0,fixed,3000,200,250,-0.04635783523087624,-0.18037715602373092,-0.012840312719249392,0.09088133226039935,0.007205630292800644,0.012620335480132056,0.0009053751431800202,1,1,1,1,0,1,0,0,0,1,1,0.033517522511626846
0,0.0,0.0,fixed,6000,200,250,-0.04635783317913311,-0.1803771533572578,-0.012840341810348785,0.09088215287733523,0.004007821509930896,0.006924332346414139,0.0005126944408197264,1,1,1,1,0,1,0,0,0,1,1,0.033517491368784326
0,0.0,0.0,scaled,3000,2000,2500,-0.04635783412496846,-0.18037717500971057,-0.012840359252289381,0.09097536544859865,0.0018046118851919508,0.002838669196361387,0.00025883957392028247,1,1,1,1,0,1,0,0,0,1,1,0.03351747487267908
0,0.0,0.0,scaled,6000,4000,5000,-0.04635783069873984,-0.1803771533384841,-0.012840249443365457,0.09086775145479599,0.0008967118069314895,0.0014091503562677547,0.00012819437934402314,1,1,1,1,0,1,0,0,0,1,1,0.03351758125537438
1,0.08726646259971647,0.027777777777777776,fixed,3000,200,250,-0.0463879223703123,-0.17641264089537842,-0.0031795679282871645,0.08047081522093513,0.21301154725490629,0.2513229171462178,0.04893337150226873,1,1,1,1,0,1,0,0,0,0,0,0.043208354442025136
1,0.08726646259971647,0.027777777777777776,fixed,6000,200,250,-0.046387601775218834,-0.1764109928499091,-0.003179583801626348,0.08062809164122692,0.21291601710833866,0.2509576258973237,0.04895114186789245,1,1,1,1,0,1,0,0,0,0,0,0.043208017973592486
1,0.08726646259971647,0.027777777777777776,scaled,3000,2000,2500,-0.0463870437628191,-0.1764095515855105,-0.0031800869434366746,0.08078843508690213,0.2129429848262335,0.2507476304922718,0.049048826664039875,1,1,1,1,0,1,0,0,0,0,0,0.04320695681938243
1,0.08726646259971647,0.027777777777777776,scaled,6000,4000,5000,-0.046387751397527224,-0.17641043399861886,-0.0031792545675955143,0.08076699811611225,0.21279330136026625,0.2505824237957337,0.04898807450967537,1,1,1,1,0,1,0,0,0,0,0,0.04320849682993171
2,0.17453292519943295,0.05555555555555555,fixed,3000,200,250,-0.046532421736055755,-0.1688904971986006,0.00648757039963881,0.0896728187762248,0.42574398530328994,0.4530434462638052,0.12067986989782208,1,1,1,1,1,1,0,0,0,0,0,0.05301999213569457
2,0.17453292519943295,0.05555555555555555,fixed,6000,200,250,-0.046532189554044937,-0.1688906600570601,0.006487902647645388,0.08968736259419649,0.4258092061253995,0.4530855523325796,0.12067390471300388,1,1,1,1,1,1,0,0,0,0,0,0.05302009220169032
2,0.17453292519943295,0.05555555555555555,scaled,3000,2000,2500,-0.046531944919670123,-0.16889083791183276,0.006488012607195666,0.08978396489225554,0.42587493629167983,0.45313425969474075,0.12079500223405183,1,1,1,1,1,1,0,0,0,0,0,0.05301995752686579
2,0.17453292519943295,0.05555555555555555,scaled,6000,4000,5000,-0.046532128788260255,-0.16889068988963418,0.006488305966236846,0.0896903309790933,0.42586827492810553,0.4531233037144288,0.12073808750532147,1,1,1,1,1,1,0,0,0,0,0,0.0530204347544971
3,0.2617993877991494,0.08333333333333333,fixed,3000,200,250,-0.04682222043622114,-0.15991861874833105,0.017158523380040445,0.1162893948411169,0.5227610796644874,0.5397198257588276,0.16179054824613076,1,1,1,1,1,1,1,0,0,0,1,0.06398074381626159
3,0.2617993877991494,0.08333333333333333,fixed,6000,200,250,-0.04682229457998494,-0.15991868408524193,0.01715901915464387,0.11621680893331293,0.5227371757350646,0.5396850078610925,0.16175484853343985,1,1,1,1,1,1,1,0,0,0,1,0.06398131373462881
3,0.2617993877991494,0.08333333333333333,scaled,3000,2000,2500,-0.046822320227545004,-0.15991877651813122,0.017159414228588042,0.11623747459138714,0.5227063099894907,0.5396503759212503,0.16188318914768057,1,1,1,1,1,1,1,0,0,0,1,0.06398173445613305
3,0.2617993877991494,0.08333333333333333,scaled,6000,4000,5000,-0.04682231761407782,-0.15991870244106082,0.017159411770084534,0.11613676842883872,0.522714003541387,0.5396512731514588,0.1618159941056166,1,1,1,1,1,1,1,0,0,0,1,0.06398172938416236
4,0.3490658503988659,0.1111111111111111,fixed,3000,200,250,-0.047254216879539256,-0.14982874805319502,0.02855685843287443,0.14430394668742794,0.5704366258172727,0.582358957498307,0.18448409026146562,1,1,1,1,1,1,1,0,0,0,1,0.07581107531241368
4,0.3490658503988659,0.1111111111111111,fixed,6000,200,250,-0.047254187572162085,-0.14982874496660317,0.028556783273044884,0.1443612635127803,0.5703644664957537,0.582262512306334,0.18443780760420264,1,1,1,1,1,1,1,0,0,0,1,0.07581097084520697
4,0.3490658503988659,0.1111111111111111,scaled,3000,2000,2500,-0.04725418819289692,-0.14982876338748963,0.028556988866817866,0.14454917415434068,0.5702852773656394,0.5821721946664685,0.1845761985899378,1,1,1,1,1,1,1,0,0,0,1,0.0758111770597148
4,0.3490658503988659,0.1111111111111111,scaled,6000,4000,5000,-0.04725417790253343,-0.14982873379056516,0.02855693677565947,0.14440780820570145,0.5702963208692043,0.5821711896275846,0.1845032555773618,1,1,1,1,1,1,1,0,0,0,1,0.0758111146781929
5,0.4363323129985824,0.1388888888888889,fixed,3000,200,250,-0.04781049324207856,-0.1386160874367601,0.04054249041337333,0.1700610310047872,0.5977497993423387,0.6076094609645745,0.19741223981720596,1,1,1,1,1,1,1,0,0,0,1,0.08835298365545188
5,0.4363323129985824,0.1388888888888889,fixed,6000,200,250,-0.04781049424923806,-0.13861606319612887,0.04054668247184209,0.1701490013290667,0.5978023394559171,0.6076586879969088,0.19738766932379073,1,1,1,1,1,1,1,0,0,0,1,0.08835717672108015
5,0.4363323129985824,0.1388888888888889,scaled,3000,2000,2500,-0.04781048463631741,-0.13861606136025142,0.040548868541063564,0.16999523990953175,0.597824375399152,0.6077487999046801,0.19752451584011693,1,1,1,1,1,1,1,0,0,0,1,0.08835935317738097
5,0.4363323129985824,0.1388888888888889,scaled,6000,4000,5000,-0.04781049367760821,-0.13861604650873402,0.0405468672470986,0.16994105740944362,0.5978143813097436,0.607674912276958,0.1974653351595926,1,1,1,1,1,1,1,0,0,0,1,0.08835736092470681
6,0.5235987755982988,0.16666666666666666,fixed,3000,200,250,-0.04847002822154658,-0.12620143820786278,0.05339503789748255,0.2042196852473555,0.6107446143203586,0.6189137254794035,0.20393120801185638,1,1,1,1,1,1,1,0,0,0,1,0.10186506611902912
6,0.5235987755982988,0.16666666666666666,fixed,6000,200,250,-0.04847001307678335,-0.12620140070482028,0.05339534014722243,0.2042191329256586,0.6107451803560223,0.6189123105222144,0.20389287749877885,1,1,1,1,1,1,1,0,0,0,1,0.10186535322400578
6,0.5235987755982988,0.16666666666666666,scaled,3000,2000,2500,-0.04847001046622554,-0.12620140279375325,0.053389536782915484,0.20432099147035512,0.6107445532767332,0.6189104834849329,0.2040643385417591,1,1,1,1,1,1,1,0,0,0,1,0.10185954724914102
6,0.5235987755982988,0.16666666666666666,scaled,6000,4000,5000,-0.04847000691189318,-0.12620137593863417,0.05339406211253289,0.20419870978662713,0.6107476520605392,0.6189112595453977,0.2039796640709535,1,1,1,1,1,1,1,0,0,0,1,0.10186406902442607
7,0.6108652381980153,0.19444444444444445,fixed,3000,200,250,-0.04921151158372459,-0.11246726339742884,0.06637299789221482,0.24022483094143954,0.6135290363059075,0.620587709046146,0.20564942431378277,1,1,1,1,1,1,1,0,0,0,1,0.1155845094759394
