policy,T,phi_scan_index,phi,phi_over_pi,w_loc3_ABB,w_loc5_ABB,primary_mask_from_scan,sensitivity_mask_from_scan
fixed,3000,0,1.6144295580947547,0.5138888888888888,0.3293544372137631,0.3513274771645657,0,0
fixed,3000,1,1.6177020504422441,0.5149305555555556,0.326407500699109,0.3487166210250403,0,0
fixed,3000,2,1.6209745427897335,0.5159722222222222,0.32337546232628,0.3460272724464162,0,0
fixed,3000,3,1.624247035137223,0.5170138888888889,0.32025465551513727,0.3432560989024519,0,0
fixed,3000,4,1.6275195274847123,0.5180555555555556,0.3170446090003551,0.34040228963769137,0,0
fixed,3000,5,1.6307920198322017,0.5190972222222222,0.3137283939362827,0.33744940563047143,0,0
fixed,3000,6,1.634064512179691,0.5201388888888889,0.31031045725569995,0.33440129265514523,0,0
fixed,3000,7,1.6373370045271802,0.5211805555555555,0.3067790632493697,0.33124627607606344,0,0
fixed,3000,8,1.6406094968746696,0.5222222222222221,0.3031203389655953,0.32796978224877615,0,0
fixed,3000,9,1.643881989222159,0.5232638888888889,0.2993418774786857,0.3245783111069211,0,0
fixed,3000,10,1.6471544815696484,0.5243055555555556,0.2954191086119236,0.3210468953976344,0,0
fixed,3000,11,1.6504269739171378,0.5253472222222222,0.29134779542217154,0.31736858516472616,0,0
fixed,3000,12,1.6536994662646272,0.5263888888888889,0.2871310772169423,0.3135456447564425,0,0
fixed,3000,13,1.6569719586121165,0.5274305555555555,0.2827345745106927,0.3095413112548917,0,0
fixed,3000,14,1.660244450959606,0.5284722222222222,0.2781637022519547,0.30535741623367496,0,0
fixed,3000,15,1.6635169433070953,0.5295138888888888,0.27341384460933793,0.3009884191806043,0,0
fixed,3000,16,1.6667894356545847,0.5305555555555556,0.26843966934424623,0.29638476911842143,0,0
fixed,3000,17,1.670061928002074,0.5315972222222223,0.26325452493215357,0.29155641945873123,0,0
fixed,3000,18,1.6733344203495635,0.5326388888888889,0.25784874983256245,0.2864916353393038,0,0
fixed,3000,19,1.6766069126970529,0.5336805555555556,0.2521574212605809,0.2811196765252751,0,0
fixed,3000,20,1.679879405044542,0.5347222222222222,0.24620413862479348,0.27545801257699326,0,0
fixed,3000,21,1.6831518973920314,0.5357638888888888,0.23998727474431883,0.2694991169165695,0,0
fixed,3000,22,1.6864243897395208,0.5368055555555555,0.23341158653897187,0.2631356269941683,0,0
fixed,3000,23,1.6896968820870102,0.5378472222222223,0.22650549728716315,0.2563811193225726,0,0
fixed,3000,24,1.6929693744344996,0.5388888888888889,0.21930923305314842,0.24926564461426592,0,0
fixed,3000,25,1.696241866781989,0.5399305555555556,0.21169447379048845,0.24163875575237903,0,0
fixed,3000,26,1.6995143591294783,0.5409722222222222,0.2036298118526906,0.23344554810674678,0,0
fixed,3000,27,1.7027868514769677,0.5420138888888889,0.19523754347251693,0.22480472046937353,0,0
fixed,3000,28,1.7060593438244571,0.5430555555555555,0.1864467368959296,0.21561951599811227,0,0
fixed,3000,29,1.7093318361719465,0.5440972222222222,0.17704669563654993,0.20562493984682578,0,0
fixed,3000,30,1.712604328519436,0.545138888888889,0.16713274559502023,0.19489096318359053,0,0
fixed,3000,31,1.7158768208669253,0.5461805555555556,0.15699910416935545,0.18371295042909738,0,0
fixed,3000,32,1.7191493132144147,0.5472222222222223,0.14656695040223117,0.17196046590504319,0,0
fixed,3000,33,1.722421805561904,0.5482638888888889,0.13544372884561381,0.15911364769544678,0,0
fixed,3000,34,1.7256942979093934,0.5493055555555556,0.12363369446373638,0.1451123989276489,0,1
fixed,3000,35,1.7289667902568826,0.5503472222222222,0.11194578160046534,0.1309009674984629,0,1
fixed,3000,36,1.732239282604372,0.5513888888888889,0.10162499107730855,0.11803228267699331,0,1
fixed,3000,37,1.7355117749518614,0.5524305555555555,0.0936074031417841,0.10779079120822209,1,1
fixed,3000,38,1.7387842672993508,0.5534722222222223,0.08816582184330297,0.10066726683186457,1,1
fixed,3000,39,1.7420567596468401,0.5545138888888889,0.08504604257187506,0.09643482808822401,1,1
fixed,3000,40,1.7453292519943295,0.5555555555555556,0.08371996553367496,0.09449342000757154,1,1
fixed,3000,41,1.748601744341819,0.5565972222222222,0.08365400181628296,0.09419838085735574,1,1
fixed,3000,42,1.7518742366893083,0.5576388888888889,0.0844516536348484,0.09503668440604592,1,1
fixed,3000,43,1.7551467290367977,0.5586805555555556,0.08583349936525339,0.09664883518269257,1,1
fixed,3000,44,1.758419221384287,0.5597222222222222,0.08763030284538455,0.09880800379707073,1,1
fixed,3000,45,1.7616917137317765,0.560763888888889,0.08974826573240045,0.10138005601466622,1,1
fixed,3000,46,1.7649642060792659,0.5618055555555556,0.09212041914226744,0.10427994868522474,1,1
fixed,3000,47,1.768236698426755,0.5628472222222222,0.09471940479006588,0.10746258313909829,1,1
fixed,3000,48,1.7715091907742444,0.5638888888888889,0.09753534779438659,0.11090765016847727,1,1
fixed,3000,49,1.7747816831217338,0.5649305555555555,0.10055458833124628,0.11460194166201604,0,1
fixed,3000,50,1.7780541754692232,0.5659722222222222,0.10378654033772142,0.11854769080578709,0,1
fixed,3000,51,1.7813266678167126,0.5670138888888889,0.10724557379321784,0.12275589674480122,0,1
fixed,3000,52,1.784599160164202,0.5680555555555555,0.1109325692760675,0.12723172686346532,0,1
fixed,3000,53,1.7878716525116913,0.5690972222222223,0.11486207193990794,0.13198367630128185,0,1
fixed,3000,54,1.7911441448591807,0.5701388888888889,0.11904976740272459,0.1370205674121455,0,1
fixed,3000,55,1.79441663720667,0.5711805555555556,0.12348882822640256,0.14233682718530116,0,1
fixed,3000,56,1.7976891295541595,0.5722222222222223,0.12817569579301696,0.14792172060076378,0,1
fixed,3000,57,1.8009616219016489,0.5732638888888889,0.13311449717343923,0.1537670793052265,0,0
fixed,3000,58,1.8042341142491383,0.5743055555555556,0.13829249061792093,0.1598592054648972,0,0
fixed,3000,59,1.8075066065966277,0.5753472222222222,0.1436976046222626,0.16618581884509603,0,0
fixed,3000,60,1.810779098944117,0.576388888888889,0.14934183623368658,0.1727501397923315,0,0
fixed,3000,61,1.8140515912916064,0.5774305555555557,0.15524074985887099,0.17956493409484903,0,0
fixed,3000,62,1.8173240836390956,0.5784722222222222,0.16139883003674935,0.1866393817532725,0,0
fixed,3000,63,1.820596575986585,0.5795138888888889,0.16782456086179454,0.19397669578934218,0,0
fixed,3000,64,1.8238690683340744,0.5805555555555556,0.17452611701651974,0.20157032783630946,0,0
fixed,3000,65,1.8271415606815637,0.5815972222222222,0.18148345107591324,0.20939311824839024,0,0
fixed,3000,66,1.8304140530290531,0.5826388888888889,0.18865249712109164,0.21740198164861332,0,0
fixed,3000,67,1.8336865453765425,0.5836805555555555,0.19600179085732405,0.225562526698433,0,0
fixed,3000,68,1.836959037724032,0.5847222222222223,0.20352842717784864,0.2338663180155462,0,0
fixed,3000,69,1.8402315300715213,0.585763888888889,0.21124470536900744,0.2423246892588894,0,0
fixed,3000,70,1.8435040224190107,0.5868055555555556,0.21915823778564752,0.2509445560415422,0,0
fixed,3000,71,1.8467765147665,0.5878472222222223,0.2272558125313865,0.25970421912602204,0,0
fixed,3000,72,1.8500490071139895,0.5888888888888889,0.23549660542892115,0.2685510068905924,0,0
fixed,3000,73,1.8533214994614788,0.5899305555555556,0.24382162505880248,0.27742688091600703,0,0
