label,phi,phi_over_pi,L,topk_overlap_weight,overlap_w5_gt_05,overlap_w5_gt_09,overlap_w3_gt_05,diag_period_avg_w_loc3,diag_period_avg_w_loc5,diag_period_avg_P0,ring_direct_period_avg_w_loc3,ring_direct_period_avg_w_loc5,ring_direct_period_avg_P0,abs_diff_diag_vs_ring_w_loc3,abs_diff_diag_vs_ring_w_loc5,abs_diff_diag_vs_ring_P0,delta_from_prev_L_w_loc3,delta_from_prev_L_w_loc5,delta_from_prev_L_P0,prev_L
paper_max_T300,1.0471975511965976,0.3333333333333333,80,0.6061868259170271,0.5615869933382618,0.5615869933382618,0.5615869933382618,0.5763951741458556,0.5939279776636553,0.17698331277703463,0.5762299353344252,0.5936888650906702,0.17695162579050727,0.00016523881143037933,0.0002391125729851451,3.168698652736279e-05,nan,nan,nan,nan
paper_max_T300,1.0471975511965976,0.3333333333333333,120,0.5988323871062374,0.5615869933382603,0.5615869933382603,0.5615869933382603,0.5691439227783005,0.5830695432057998,0.17610937655280812,0.5693702897447178,0.5833731273696044,0.17613758733170337,0.0002263669664173129,0.0003035841638046044,2.8210778895254585e-05,0.007251251367555112,0.010858434457855504,0.0008739362242265181,80
paper_max_T300,1.0471975511965976,0.3333333333333333,160,0.5754050804868671,0.5615869933382761,0.5615869933382761,0.5615869933382761,0.5652340847072975,0.5773486871197729,0.1755934657172654,0.5647064050184458,0.5766130724602175,0.17551604790448627,0.000527679688851701,0.0007356146595554058,7.741781277911808e-05,0.00390983807100298,0.005720856086026904,0.0005159108355427267,120
paper_max_T300,1.0471975511965976,0.3333333333333333,220,0.5819682775185919,0.5615869933382761,0.5615869933382761,0.5615869933382761,0.5622636351018685,0.572883626289375,0.17523842727895225,0.5620671022352542,0.5725556995967597,0.1752329583239367,0.00019653286661425184,0.00032792669261527685,5.468955015547339e-06,0.0029704496054290264,0.004465060830397993,0.00035503843831313775,160
refined_max_T6000,0.9285151620609833,0.29555555555555557,80,0.6421416891278424,0.5866336794869338,0.5866336794869338,0.5866336794869338,0.6010850462179925,0.6175687995696398,0.18986313388849307,0.6009574415640192,0.6173806515769625,0.18984780165469564,0.00012760465397332332,0.0001881479926773011,1.533223379743265e-05,nan,nan,nan,nan
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,0.6214500738292354,0.5866336794869225,0.5866336794869225,0.5866336794869225,0.5940450376585026,0.6071492712645729,0.18899851756062627,0.5942975632376732,0.6074788316274792,0.1890399747898165,0.0002525255791706593,0.0003295603629063226,4.1457229190217104e-05,0.007040008559489941,0.010419528305066983,0.0008646163278668018,80
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,0.6028978261029464,0.5866336794869456,0.5866336794869456,0.5866336794869456,0.5902835122915984,0.6016849214462332,0.1884898297610067,0.5897397366618977,0.6009464794359922,0.18839407292218874,0.0005437756297006491,0.0007384420102409806,9.575683881796193e-05,0.003761525366904217,0.005464349818339653,0.0005086877996195727,120
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,0.6051982795270802,0.5866336794869319,0.5866336794869319,0.5866336794869319,0.5874375149996919,0.597435512008175,0.18815192436261005,0.5872661545045192,0.5971427538424574,0.18814782257863963,0.0001713604951726344,0.0002927581657176104,4.101783970422712e-06,0.002845997291906488,0.004249409438058183,0.00033790539839664846,160
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,80,0.17440369047996715,0.11268459348808735,0.0642934182632252,0.0642934182632252,0.12208654217597929,0.1529228296037367,0.023916952545248407,0.12147572957451036,0.15208423122210646,0.023696484442068767,0.0006108126014689325,0.0008385983816302511,0.00022046810317963988,nan,nan,nan,nan
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,120,0.15841828159270768,0.11268459300400477,0.06429341826323354,0.06429341826323354,0.10930465647217617,0.1331414933816246,0.02197587446317972,0.10773763869274872,0.1310711225428198,0.021570111751674486,0.001567017779427457,0.0020703708388047914,0.0004057627115052337,0.01278188570380312,0.019781336222112117,0.0019410780820686875,80
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,160,0.14871411256185696,0.11268459300399908,0.0642934182632321,0.0642934182632321,0.10289218640505289,0.12312604108064738,0.021004539812709944,0.09986289894583279,0.11902175136906797,0.0203351355931169,0.003029287459220098,0.0041042897115794175,0.0006694042195930436,0.006412470067123283,0.01001545230097721,0.000971334650469776,120
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,220,0.13877492857920284,0.1126845930040022,0.06429341826323476,0.06429341826323476,0.09739788665737138,0.11462317389434708,0.020159452288288224,0.09444947820184021,0.11054535930394303,0.019560150289805314,0.002948408455531168,0.004077814590404044,0.0005993019984829109,0.005494299747681508,0.008502867186300306,0.0008450875244217192,160
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,80,0.22711328703151784,0.09393487247857016,0.061447484179204745,0.061447484179204745,0.13530360175277692,0.17049334315402445,0.028439414642113192,0.13388876189955454,0.16861355872858977,0.02808059619920427,0.0014148398532223827,0.001879784425434683,0.0003588184429089217,nan,nan,nan,nan
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,120,0.20661334763748765,0.09393484105462525,0.061447484179203184,0.061447484179203184,0.1239809999432389,0.15291370736945578,0.026809568299092177,0.12210092006873773,0.1504006022625422,0.026392398870662425,0.0018800798745011726,0.002513105106913577,0.00041716942842975197,0.011322601809538022,0.01757963578456867,0.0016298463430210151,80
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,160,0.20388132607227388,0.09393484104862755,0.06144748417920108,0.06144748417920108,0.11846885884233709,0.14422467012675536,0.026017320110742304,0.11547129661993533,0.14027694500659535,0.025341600427899638,0.002997562222401759,0.003947725120160006,0.0006757196828426661,0.005512141100901813,0.008689037242700426,0.0007922481883498728,120
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,220,0.1995295149773974,0.09393484104862479,0.06144748417919943,0.06144748417919943,0.11383348103402009,0.13699850849592674,0.025352210908804018,0.11088306616643825,0.13302590870259773,0.02476338953693906,0.002950414867581838,0.003972599793329007,0.0005888213718649588,0.004635377808316993,0.00722616163082862,0.0006651092019382861,160
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,80,0.19912415081563475,0.13712016003903815,0.06718054976689225,0.13712016003903815,0.13820007987917463,0.17344996418830005,0.025621730830936648,0.13827275334820854,0.17359532317143248,0.02555684075180094,7.267346903391814e-05,0.0001453589831324209,6.489007913570988e-05,nan,nan,nan,nan
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,120,0.186949330102813,0.1371201600343679,0.06718054976689193,0.1371201600343679,0.1255317949460049,0.15358809122720318,0.02373175797490069,0.1238828725222867,0.1514355977814802,0.02332851046240669,0.0016489224237181827,0.0021524934457229916,0.00040324751249400104,0.012668284933169738,0.01986187296109687,0.0018899728560359576,80
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,160,0.17279689106581253,0.1371201600343548,0.06718054976688674,0.1371201600343548,0.11926715459536678,0.14370918481728748,0.022808717006734647,0.11681561582758115,0.14044476011538148,0.022258844978883533,0.00245153876778563,0.0032644247019059935,0.0005498720278511136,0.006264640350638104,0.009878906409915705,0.0009230409681660438,120
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,220,0.16242010219832612,0.13712016003437566,0.06718054976689525,0.13712016003437566,0.11412123049259242,0.13562580897329404,0.022047926186918306,0.11155330468807974,0.13197908097948233,0.021536072602036268,0.0025679258045126774,0.003646727993811716,0.0005118535848820382,0.0051459241027743685,0.008083375843993434,0.0007607908198163406,160
