label,sequence,phi,phi_over_pi,policy,metric_name,n_points,T_min,T_max,limit_estimate_deg1,rmse_deg1,limit_estimate_deg2,rmse_deg2
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,v_fit,7,6000,24000,-0.05354409783185706,2.1099234803904796e-10,-0.053544099004805085,1.0951995484228952e-11
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,deltaP_late_mean,7,6000,24000,-0.06578969387189851,2.3913426315496734e-10,-0.06578969265076842,9.520992779634509e-11
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,w_loc3,7,6000,24000,0.5269241458536883,4.83024549008441e-09,0.5269241191649685,5.877679283056808e-10
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,w_loc5,7,6000,24000,0.5539312846246185,1.195359165770826e-09,0.553931278382437,4.1409359896319995e-10
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,P0bar,7,6000,24000,0.15798987458893443,5.1759947876720434e-08,0.15799016270847988,4.845576895000689e-10
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,v_fit,7,6000,24000,-0.053544099063080684,5.210523279456107e-11,-0.0535440993529274,1.9708314527896727e-12
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,deltaP_late_mean,7,6000,24000,-0.06578969452018948,9.785903690880483e-10,-0.06578969117494221,7.723416186841765e-10
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,w_loc3,7,6000,24000,0.5269243916524639,1.705898791275e-06,0.5269218780022128,1.6450508406817354e-06
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,w_loc5,7,6000,24000,0.5539313297747677,3.2232031515637136e-07,0.5539308544476722,3.1080435748380355e-07
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,P0bar,7,6000,24000,0.15798686572957268,2.0628772006425665e-05,0.1580172526449489,1.989343866461834e-05
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,v_fit,7,6000,24000,-0.037607770493115124,8.720575210019749e-08,-0.03760746134178984,6.723552537298464e-08
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,deltaP_late_mean,7,6000,24000,-0.1184889388524607,8.652311571759046e-05,-0.11826435073397067,7.654108056217825e-05
