label,sequence,phi,phi_over_pi,policy,T,T0,T1,v_fit,v_fit2,v_T,delta_v,deltaP_late_mean,deltaP_final,w_loc3,w_loc5,P0bar,x_mean_final,stable
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,3000,200,250,-0.05354411798362456,-0.05354411184749644,-0.0535458491497003,2.0583416096751905e-05,-0.06578934787956503,-0.06578760534321892,0.5269184999810057,0.5539297753503705,0.15804617273582983,-160.6375474491009,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,6000,200,250,-0.05354410554076857,-0.05354410400705293,-0.053544977239466995,2.1455326330056812e-05,-0.06578952685221477,-0.06579048982673458,0.5269214146161206,0.5539305586024377,0.15801720772607236,-321.269863436802,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,8000,200,250,-0.05354410322144547,-0.05354410235352494,-0.05354475699419133,2.1675571605719868e-05,-0.06578956892118282,-0.06578906428795112,0.5269221056089143,0.5539307414231761,0.15801027151017102,-428.35805595353065,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,10000,200,250,-0.05354410202735994,-0.05354410146886125,-0.05354462590133666,2.180666446039564e-05,-0.06578959430677934,-0.0657898622813693,0.5269225179851232,0.5539308519858874,0.15800616759785582,-535.4462590133666,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,12000,200,250,-0.05354410132263923,-0.05354410093298382,-0.0535445380047605,2.1894561036552018e-05,-0.06578961062800895,-0.0657894787035902,0.5269227880474039,0.5539309233116575,0.1580034536609607,-642.534456057126,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,16000,200,250,-0.053544100560237035,-0.053544100339461685,-0.05354442845717794,2.2004108619112783e-05,-0.06578963135356235,-0.06578976744323661,0.5269231249884269,0.5539310131208087,0.1580000876617312,-856.710855314847,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,20000,200,250,-0.0535441001727878,-0.05354410003073404,-0.053544362666525395,2.20698992716567e-05,-0.06578964373599991,-0.06578985980978691,0.5269233257380962,0.5539310666027297,0.1579980815657977,-1070.887253330508,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,fixed,24000,200,250,-0.05354409994703786,-0.05354409984798364,-0.05354431876945002,2.2113796347034143e-05,-0.06578965195373487,-0.06578980077414981,0.5269234589505764,0.5539311020658086,0.15799674973463937,-1285.0636504668005,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,3000,2000,2500,-0.05354410156455312,-0.05354409844256554,-0.0535458491497003,3.5636801426486286e-07,-0.06578969367895446,-0.06578760534321892,0.5269110276582083,0.5539287862300655,0.15814798838384755,-160.6375474491009,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,6000,4000,5000,-0.053544100152713305,-0.053544100121956074,-0.053544977239466995,1.749264110992299e-07,-0.06578968817383755,-0.06579048982673458,0.5269175755496041,0.5539300348318,0.15806911288560668,-321.269863436802,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,8000,5333,6666,-0.0535440997801785,-0.05354409961414653,-0.05354475699419133,1.3227512423580334e-07,-0.06578968968519645,-0.06578906428795112,0.5269241078070008,0.5539312703180996,0.15799015244473769,-428.35805595353065,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,10000,6666,8333,-0.05354409960555804,-0.053544099578627755,-0.05354462590133666,1.0495852977021602e-07,-0.06578969342239407,-0.0657898622813693,0.52692019629667,0.5539305344646203,0.15803753232198142,-535.4462590133666,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,12000,8000,10000,-0.053544099520397695,-0.0535440994844682,-0.0535445380047605,8.789657615637658e-08,-0.0657896918098661,-0.0657894787035902,0.526920845316446,0.5539306554836165,0.1580296445574948,-642.534456057126,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,16000,10666,13333,-0.053544099436254995,-0.0535440994170859,-0.05354442845717794,6.569431763164824e-08,-0.06578969225317473,-0.06578976744323661,0.5269216628632943,0.5539308104490127,0.15801977053615215,-856.710855314847,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,20000,13333,16666,-0.053544099398677596,-0.05354409938221046,-0.053544362666525395,5.258522543100108e-08,-0.0657896922208108,-0.06578985980978691,0.5269241179422554,0.5539312773145015,0.15799015669605218,-1070.887253330508,1
paper_max_T300,A,1.0471975511965976,0.3333333333333333,scaled,24000,16000,20000,-0.053544099376168164,-0.05354409936705336,-0.05354431876945002,4.3897075377441475e-08,-0.06578969265099963,-0.06578980077414981,0.5269224817857774,0.5539309666089441,0.15800990327442577,-1285.0636504668005,1
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,3000,200,250,-0.037606886242142534,-0.03760555686074657,-0.03764338017057027,0.003052539472071146,-0.11778987058218429,-0.1323464104315243,0.7174979493422337,0.7300249650517003,0.2782878340286658,-112.93014051171082,1
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,6000,200,250,-0.037607491481352076,-0.03760719063468409,-0.03761346939455234,0.0030824502480890775,-0.11810808927953813,-0.09739780604536469,0.7174941632622465,0.7300211957616443,0.2782342442650528,-225.68081636731404,1
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,8000,200,250,-0.03760783523182877,-0.03760767341776371,-0.03759696580509315,0.0030989538375482684,-0.11845928334835099,-0.03927065590348788,0.7174932558582885,0.7300202918262301,0.27822141708482623,-300.7757264407452,1
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,10000,200,250,-0.03760772070014987,-0.03760761759322418,-0.0376412909761155,0.0030546286665259145,-0.11835910961175836,-0.24278671425530352,0.7174926780566925,0.7300197318855401,0.2782138054844076,-376.412909761155,1
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,12000,200,250,-0.037607655589157116,-0.03760758408431179,-0.03759981755205023,0.0030961020905911837,-0.11828315424944597,-0.03508385837155631,0.7174923140262371,0.7300193726703432,0.2782087820835125,-451.1978106246028,1
