p_index,p,strict,dt_primary,dt_sens,pp_primary,pp_sens,mismatch
0,0.0,45,4,6,0,1,1
1,0.03333333333333333,0,2,2,0,0,0
2,0.06666666666666667,0,0,0,0,0,1
3,0.1,0,0,0,0,0,0
4,0.13333333333333333,0,0,0,0,0,4
5,0.16666666666666666,0,0,0,0,0,1
6,0.2,0,0,0,0,0,1
7,0.23333333333333334,0,0,0,0,0,0
8,0.26666666666666666,0,0,0,0,0,0
9,0.3,0,0,0,0,0,0
10,0.3333333333333333,0,0,0,0,0,0
11,0.36666666666666664,0,0,0,0,0,0
12,0.4,0,0,0,0,0,0
13,0.43333333333333335,0,0,0,0,0,0
14,0.4666666666666667,0,0,0,0,0,0
15,0.5,0,0,0,0,0,0
16,0.5333333333333333,0,0,0,0,0,0
17,0.5666666666666667,0,0,0,0,0,0
18,0.6,0,0,0,0,0,0
19,0.6333333333333333,0,0,0,0,0,0
20,0.6666666666666666,0,0,0,0,0,0
21,0.7,0,0,0,0,0,0
22,0.7333333333333333,0,0,0,0,0,0
23,0.7666666666666666,0,0,0,0,0,0
24,0.8,0,0,0,0,0,0
25,0.8333333333333334,0,0,0,0,0,0
26,0.8666666666666667,0,0,0,0,0,0
27,0.9,0,0,0,0,0,0
28,0.9333333333333333,0,0,0,0,0,0
29,0.9666666666666667,0,0,0,0,0,0
30,1.0,0,0,0,0,0,0
