phi_index,p_index,phi,phi_over_pi,p,v_fit_A,v_fit_B,v_fit_ABB,adv_v,w_loc_primary,w_loc_sensitivity,P0bar,deltaP_late_mean,strict,dt_primary,dt_sens,pp_primary,pp_sens,mismatch,vA_ci_lo,vA_ci_hi,vB_ci_lo,vB_ci_hi,vABB_ci_lo,vABB_ci_hi
12,0,1.0471975511965976,0.3333333333333333,0.0,-0.05354750247179229,-0.03879155192411138,0.12039081438979324,0.15918236631390462,0.5539169355050061,0.560667705564583,0.17583604833778338,0.40298969393240414,1,0,0,0,0,0,-0.05354750247179229,-0.05354750247179229,-0.03879155192411138,-0.03879155192411138,0.12039081438979324,0.12039081438979324
11,0,0.9599310885968813,0.3055555555555556,0.0,-0.05264380443472744,-0.04723591636538499,0.11140307072933961,0.1586389870947246,0.5732802224480572,0.5796775620988084,0.18572815642529122,0.373660704127894,1,0,0,0,0,0,-0.05264380443472744,-0.05264380443472744,-0.04723591636538499,-0.04723591636538499,0.11140307072933961,0.11140307072933961
14,0,1.2217304763960306,0.3888888888888889,0.0,-0.05532474048836578,-0.025108591631445458,0.1332428064093214,0.15835139804076687,0.5061850042413818,0.5143081633772253,0.1539679786968202,0.4525292620751795,1,0,0,0,0,0,-0.05532474048836578,-0.05532474048836578,-0.025108591631445458,-0.025108591631445458,0.1332428064093214,0.1332428064093214
13,0,1.1344640137963142,0.3611111111111111,0.0,-0.05444284763563035,-0.02999410799805806,0.1277751130057538,0.15776922100381185,0.5314804510265619,0.5387990343964887,0.1651596678443514,0.42919820009806114,1,0,0,0,0,0,-0.05444284763563035,-0.05444284763563035,-0.02999410799805806,-0.02999410799805806,0.1277751130057538,0.1277751130057538
15,0,1.3089969389957472,0.4166666666666667,0.0,-0.05618693575968395,-0.02084052311804279,0.13631952649892942,0.15716004961697222,0.47810289712901616,0.4873638446509443,0.14240853043810975,0.47300076856401235,1,0,0,0,0,0,-0.05618693575968395,-0.05618693575968395,-0.02084052311804279,-0.02084052311804279,0.13631952649892942,0.13631952649892942
16,0,1.3962634015954636,0.4444444444444444,0.0,-0.05701828477077424,-0.017701220945801927,0.13611641027447277,0.1538176312202747,0.446714153894349,0.4577964780040199,0.13041180543250275,0.4889325399144775,1,0,0,0,0,0,-0.05701828477077424,-0.05701828477077424,-0.017701220945801927,-0.017701220945801927,0.13611641027447277,0.13611641027447277
10,0,0.8726646259971648,0.2777777777777778,0.0,-0.051741932457845044,-0.06138123193573872,0.10162424667594497,0.15336617913379003,0.5893137358401742,0.5955725126075337,0.1942877492801353,0.3441432510287202,1,0,0,0,0,0,-0.051741932457845044,-0.051741932457845044,-0.06138123193573872,-0.06138123193573872,0.10162424667594497,0.10162424667594497
17,0,1.48352986419518,0.4722222222222222,0.0,-0.0578049652125594,-0.016327215514569626,0.13136491826308647,0.14769213377765608,0.41011722921735144,0.42452635070408457,0.11742396871285082,0.496672520861923,1,0,0,0,0,0,-0.0578049652125594,-0.0578049652125594,-0.016327215514569626,-0.016327215514569626,0.13136491826308647,0.13136491826308647
9,0,0.7853981633974483,0.25,0.0,-0.05086289806786194,-0.08034174586747633,0.09096312372140504,0.14182602178926698,0.6017875346041333,0.6080283668506896,0.20117445080433424,0.310567112593382,1,0,0,0,0,0,-0.05086289806786194,-0.05086289806786194,-0.08034174586747633,-0.08034174586747633,0.09096312372140504,0.09096312372140504
18,0,1.5707963267948966,0.5,0.0,-0.05853787724443198,-0.015372458835806234,0.12083352057243758,0.1362059794082438,0.3631102307356258,0.38357002307676863,0.10164341762837271,0.488742912204297,1,0,0,0,0,0,-0.05853787724443198,-0.05853787724443198,-0.015372458835806234,-0.015372458835806234,0.12083352057243758,0.12083352057243758
